study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
it service management,NHL Stenden Hogeschool,AD,Leeuwarden,Nederlands,2 jaar,ICT-dienstverlening pan ICT-processen gebruikersafdeling ICT-infrastructuur ICT-dienstverlening ICT-adviseur Klantgerichtheid to-face overtuigingskracht Stenden
industriële automatisering en robotica,NHL Stenden Hogeschool,AD,"Leeuwarden, Emmen",Nederlands,2 jaar,productiviteitsverhoging productiviteit gezin studie-ervaring aanpassing besturingsprincipes roboticavraagstuk
maritieme techniek,NHL Stenden Hogeschool,AD,Leeuwarden,Nederlands,2 jaar,scheepswerven vakmanschap contactdag leslocatie
cyber safety & security,NHL Stenden Hogeschool,AD,Leeuwarden,Nederlands,2 jaar,verstoring uitval systeemfouten dreiging aanbevelingen scannen
applied data science & artificial intelligence,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,trackers media-analyses koopgedrag opschonen data-gedreven artikel platformen kleven ongewenst artificial NT A Databasespecialist Webdeveloper Software-tester onderzoeksthema studiothema cities tracking dokter patiëntendossiers societies data-engineering bewuster machinelearning verkenning ontwikkelreis loer
informatica,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,IT-opleiding C informaticavakgebied dagplanning projectontwikkelmethodieken
watermanagement,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,straten ideeënbedenker strijd waterschappen verdroging RDM-terrein paal omgang achtergrondkennis regenval zuurstof zoutgehalte straatniveau regentonnen achterhoofd verharding waterproblematieken belangenorganisaties riolering
technische informatica,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,C operatierobot sorteercentra lampen Defensie NT automated toekomstplannen
technische bedrijfskunde,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,dienstverlening allrounders NT A verdiepingsproject
ruimtelijke ontwikkeling,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,planologie procent projectleider maatvoering verkaveling Stadmaken Metropoolvorming groeiplan gebiedsontwikkelaar Conflicthantering masterrichting Planologie
mens en techniek,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,zorgverleners bloeddrukmeters operatiekamers eromheen NT deel-)opdrachten procesbegeleider risicoanalyse
maritieme techniek,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,afstandje sleepboten typen zeilen NT scheepsconstructie Dredging hbo-master
maritiem officier,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,dorp stroom zeevaartopleiding zeevaart studiekeuzegesprek praktijkruimtes hbo-kwalificaties tanker
logistics engineering,Hogeschool Rotterdam,B,Rotterdam,"Nederlands, Engels",4 jaar,hubs ketens kranen transportmodaliteiten goud NT A rapporteren transportprobleem
automotive,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,topsnelheid plaatje schoner ontwerper/constructeur topdocenten interieurverlichting car mobiliteitsprobleem mock-up Automotive-opleidingen
werktuigbouwkunde,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,scooters carrièremogelijkheden afdelingsleider inspecteur monteurs planners inkopers regelgevers
industrieel product ontwerpen,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,maker inspiratie bereikbaarheid wonder topopleiding meeloopstage vaardigheidscases gebruiksonderzoek productpresentatie ochtend middag studieruimtes mens/zorg stadsnatuur IPO-leeruitkomsten Afstudeerprojecten zeep autisme hbo-masterprogramma
creative media and game technologies,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,techniekfilosofie collegezalen full-stack contracten Agencies Total spelers veelzijdigheid NT ontwerpvlak
biologie en medisch laboratoriumonderzoek,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,biobrandstof nano-niveau voedselkwaliteit plant NT A afstudeerders
bouwkunde,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,kantoren standpunten NT havo/vwo wetswijziging architecten
chemie,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,must NT A beantwoording colloïdchemie
chemische technologie,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,bevriezing warmtewisselaar boom feitjes aarde procesinstallaties brandweer samenwerkingsverband NT A
civiele techniek,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,metrotunnels hartje woonomgevingen windmolenpark eindexamenvak waterhuishouding vervanging tweetal tussenjaar
communication and multimedia design,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,tikkie Paard observaties webbouwer stagiaires CMD'ers projectteam CMD-er
elektrotechniek,Hogeschool Rotterdam,B,Rotterdam,Nederlands,4 jaar,wekken defensie NT power steun
shipping and transport,Hogeschool Rotterdam,M,Rotterdam,Engels,1 jaar,scheepvaartbedrijven overwegingen kenniscentra shipping vitae different take handling connections processes finances
river delta development (joint degree),Hogeschool Rotterdam,M,Rotterdam,Engels,2 jaar,thuisbasis zeespiegels harmonie deltasystemen kustgebieden Studentenbureau
ict internet of things,Hogeschool Rotterdam,AD,Rotterdam,Nederlands,2 jaar,stoplichten vuilniscontainers bed Ad-opleiding
data analytics,Hogeschool Rotterdam,AD,Rotterdam,Nederlands,2 jaar,dashboards
smart technology,Hogeschool Rotterdam,AD,Rotterdam,Nederlands,2 jaar,schaalbaarheid voedingsmiddelenindustrie PLC-techniek sensortechniek bedrijfsveiligheid
software development,Hogeschool Rotterdam,AD,Rotterdam,Nederlands,2 jaar,NT computervirus
engineering,Hogeschool Rotterdam,AD,Rotterdam,Nederlands,2 jaar,voltijdstudenten NT storingsanalyse
integraal bouwmanagement,Hogeschool Rotterdam,AD,Dordrecht,Nederlands,2 jaar,BIM-modelleur onderaannemers
